Token 名称, 值, 来源类型(seed/map/alias)
borderRadiusXS, "2", alias
borderRadiusSM, "4", alias
borderRadiusLG, "8", alias
borderRadiusOuter, "4", alias
colorFillContent, "rgba(255，255，255，0.12)", alias
colorFillContentHover, "rgba(255，255，255，0.18)", alias
colorFillAlter, "rgba(255，255，255，0.04)", alias
colorBgContainerDisabled, "rgba(255，255，255，0.08)", alias
colorBorderBg, "#141414", alias
colorSplit, "rgba(253，253，253，0.12)", alias
colorTextPlaceholder, "rgba(255，255，255，0.25)", alias
colorTextDisabled, "rgba(255，255，255，0.25)", alias
colorTextHeading, "rgba(255，255，255，0.85)", alias
colorTextLabel, "rgba(255，255，255，0.65)", alias
colorTextDescription, "rgba(255，255，255，0.45)", alias
colorTextLightSolid, "#fff", alias
colorHighlight, "#dc4446", alias
colorBgTextHover, "rgba(255，255，255，0.12)", alias
colorBgTextActive, "rgba(255，255，255，0.18)", alias
colorIcon, "rgba(255，255，255，0.45)", alias
colorIconHover, "rgba(255，255，255，0.85)", alias
colorErrorOutline, "rgba(238，38，56，0.11)", alias
colorWarningOutline, "rgba(173，107，0，0.15)", alias
fontSizeIcon, "12", alias
lineWidthFocus, "3", alias
controlOutlineWidth, "2", alias
controlInteractiveSize, "16", alias
controlItemBgHover, "rgba(255，255，255，0.08)", alias
controlItemBgActive, "#111a2c", alias
controlItemBgActiveHover, "#112545", alias
controlItemBgActiveDisabled, "rgba(255，255，255，0.18)", alias
controlTmpOutline, "rgba(255，255，255，0.04)", alias
controlOutline, "rgba(0，60，180，0.15)", alias
fontWeightStrong, "600", alias
opacityLoading, "0.65", alias
linkDecoration, "none", alias
linkHoverDecoration, "none", alias
linkFocusDecoration, "none", alias
controlPaddingHorizontal, "12", alias
controlPaddingHorizontalSM, "8", alias
paddingXXS, "4", alias
paddingXS, "8", alias
paddingSM, "12", alias
padding, "16", alias
paddingMD, "20", alias
paddingLG, "24", alias
paddingXL, "32", alias
paddingContentHorizontalLG, "24", alias
paddingContentVerticalLG, "16", alias
paddingContentHorizontal, "16", alias
paddingContentVertical, "12", alias
paddingContentHorizontalSM, "16", alias
paddingContentVerticalSM, "8", alias
marginXXS, "4", alias
marginXS, "8", alias
marginSM, "12", alias
margin, "16", alias
marginMD, "20", alias
marginLG, "24", alias
marginXL, "32", alias
marginXXL, "48", alias
boxShadow, "      0 6px 16px 0 rgba(0， 0， 0， 0.08)，      0 3px 6px -4px rgba(0， 0， 0， 0.12)，      0 9px 28px 8px rgba(0， 0， 0， 0.05)    ", alias
boxShadowSecondary, "      0 6px 16px 0 rgba(0， 0， 0， 0.08)，      0 3px 6px -4px rgba(0， 0， 0， 0.12)，      0 9px 28px 8px rgba(0， 0， 0， 0.05)    ", alias
boxShadowTertiary, "      0 1px 2px 0 rgba(0， 0， 0， 0.03)，      0 1px 6px -1px rgba(0， 0， 0， 0.02)，      0 2px 4px 0 rgba(0， 0， 0， 0.02)    ", alias
screenXS, "480", alias
screenXSMin, "480", alias
screenXSMax, "575", alias
screenSM, "576", alias
screenSMMin, "576", alias
screenSMMax, "767", alias
screenMD, "768", alias
screenMDMin, "768", alias
screenMDMax, "991", alias
screenLG, "992", alias
screenLGMin, "992", alias
screenLGMax, "1199", alias
screenXL, "1200", alias
screenXLMin, "1200", alias
screenXLMax, "1599", alias
screenXXL, "1600", alias
screenXXLMin, "1600", alias
boxShadowPopoverArrow, "2px 2px 5px rgba(0， 0， 0， 0.05)", alias
boxShadowCard, "      0 1px 2px -2px rgba(0，0，0，0.16)，      0 3px 6px 0 rgba(0，0，0，0.12)，      0 5px 12px 4px rgba(0，0，0，0.09)    ", alias
boxShadowDrawerRight, "      -6px 0 16px 0 rgba(0， 0， 0， 0.08)，      -3px 0 6px -4px rgba(0， 0， 0， 0.12)，      -9px 0 28px 8px rgba(0， 0， 0， 0.05)    ", alias
boxShadowDrawerLeft, "      6px 0 16px 0 rgba(0， 0， 0， 0.08)，      3px 0 6px -4px rgba(0， 0， 0， 0.12)，      9px 0 28px 8px rgba(0， 0， 0， 0.05)    ", alias
boxShadowDrawerUp, "      0 6px 16px 0 rgba(0， 0， 0， 0.08)，      0 3px 6px -4px rgba(0， 0， 0， 0.12)，      0 9px 28px 8px rgba(0， 0， 0， 0.05)    ", alias
boxShadowDrawerDown, "      0 -6px 16px 0 rgba(0， 0， 0， 0.08)，      0 -3px 6px -4px rgba(0， 0， 0， 0.12)，      0 -9px 28px 8px rgba(0， 0， 0， 0.05)    ", alias
boxShadowTabsOverflowLeft, "inset 10px 0 8px -8px rgba(0， 0， 0， 0.08)", alias
boxShadowTabsOverflowRight, "inset -10px 0 8px -8px rgba(0， 0， 0， 0.08)", alias
boxShadowTabsOverflowTop, "inset 0 10px 8px -8px rgba(0， 0， 0， 0.08)", alias
boxShadowTabsOverflowBottom, "inset 0 -10px 8px -8px rgba(0， 0， 0， 0.08)", alias
