Token 名称, 值, 来源类型(seed/map/alias)
borderRadiusSM, "4", alias
borderRadiusLG, "8", alias
borderRadiusOuter, "4", alias
colorFillContent, "rgba(0，0，0，0.06)", alias
colorFillContentHover, "rgba(0，0，0，0.15)", alias
colorFillAlter, "rgba(0，0，0，0.02)", alias
colorBgContainerDisabled, "rgba(0，0，0，0.04)", alias
colorBorderBg, "#ffffff", alias
colorSplit, "rgba(5，5，5，0.06)", alias
colorTextPlaceholder, "rgba(0，0，0，0.25)", alias
colorTextDisabled, "rgba(0，0，0，0.25)", alias
colorTextHeading, "rgba(0，0，0，0.88)", alias
colorTextLabel, "rgba(0，0，0，0.65)", alias
colorTextDescription, "rgba(0，0，0，0.45)", alias
colorTextLightSolid, "#fff", alias
colorHighlight, "#ff4d4f", alias
colorBgTextHover, "rgba(0，0，0，0.06)", alias
colorBgTextActive, "rgba(0，0，0，0.15)", alias
colorIcon, "rgba(0，0，0，0.45)", alias
colorIconHover, "rgba(0，0，0，0.88)", alias
colorErrorOutline, "rgba(255，38，5，0.06)", alias
colorWarningOutline, "rgba(255，215，5，0.1)", alias
fontSizeIcon, "12", alias
lineWidthFocus, "3", alias
controlOutlineWidth, "2", alias
controlInteractiveSize, "16", alias
controlItemBgHover, "rgba(0，0，0，0.04)", alias
controlItemBgActive, "#e6f4ff", alias
controlItemBgActiveHover, "#bae0ff", alias
controlItemBgActiveDisabled, "rgba(0，0，0，0.15)", alias
controlTmpOutline, "rgba(0，0，0，0.02)", alias
controlOutline, "rgba(5，145，255，0.1)", alias
fontWeightStrong, "600", alias
opacityLoading, "0.65", alias
linkDecoration, "none", alias
linkHoverDecoration, "none", alias
linkFocusDecoration, "none", alias
controlPaddingHorizontal, "12", alias
controlPaddingHorizontalSM, "8", alias
paddingXXS, "4", alias
paddingXS, "8", alias
paddingSM, "12", alias
padding, "16", alias
paddingMD, "20", alias
paddingLG, "24", alias
paddingXL, "32", alias
paddingContentHorizontalLG, "24", alias
paddingContentVerticalLG, "16", alias
paddingContentHorizontal, "16", alias
paddingContentVertical, "12", alias
paddingContentHorizontalSM, "16", alias
paddingContentVerticalSM, "8", alias
marginXXS, "4", alias
marginXS, "8", alias
marginSM, "12", alias
margin, "16", alias
marginMD, "20", alias
marginLG, "24", alias
marginXL, "32", alias
marginXXL, "48", alias
boxShadow, "      0 6px 16px 0 rgba(0， 0， 0， 0.08)，      0 3px 6px -4px rgba(0， 0， 0， 0.12)，      0 9px 28px 8px rgba(0， 0， 0， 0.05)    ", alias
boxShadowSecondary, "      0 6px 16px 0 rgba(0， 0， 0， 0.08)，      0 3px 6px -4px rgba(0， 0， 0， 0.12)，      0 9px 28px 8px rgba(0， 0， 0， 0.05)    ", alias
boxShadowTertiary, "      0 1px 2px 0 rgba(0， 0， 0， 0.03)，      0 1px 6px -1px rgba(0， 0， 0， 0.02)，      0 2px 4px 0 rgba(0， 0， 0， 0.02)    ", alias
screenXS, "480", alias
screenXSMin, "480", alias
screenXSMax, "575", alias
screenSM, "576", alias
screenSMMin, "576", alias
screenSMMax, "767", alias
screenMD, "768", alias
screenMDMin, "768", alias
screenMDMax, "991", alias
screenLG, "992", alias
screenLGMin, "992", alias
screenLGMax, "1199", alias
screenXL, "1200", alias
screenXLMin, "1200", alias
screenXLMax, "1599", alias
screenXXL, "1600", alias
screenXXLMin, "1600", alias
boxShadowPopoverArrow, "2px 2px 5px rgba(0， 0， 0， 0.05)", alias
boxShadowCard, "      0 1px 2px -2px rgba(0，0，0，0.16)，      0 3px 6px 0 rgba(0，0，0，0.12)，      0 5px 12px 4px rgba(0，0，0，0.09)    ", alias
boxShadowDrawerRight, "      -6px 0 16px 0 rgba(0， 0， 0， 0.08)，      -3px 0 6px -4px rgba(0， 0， 0， 0.12)，      -9px 0 28px 8px rgba(0， 0， 0， 0.05)    ", alias
boxShadowDrawerLeft, "      6px 0 16px 0 rgba(0， 0， 0， 0.08)，      3px 0 6px -4px rgba(0， 0， 0， 0.12)，      9px 0 28px 8px rgba(0， 0， 0， 0.05)    ", alias
boxShadowDrawerUp, "      0 6px 16px 0 rgba(0， 0， 0， 0.08)，      0 3px 6px -4px rgba(0， 0， 0， 0.12)，      0 9px 28px 8px rgba(0， 0， 0， 0.05)    ", alias
boxShadowDrawerDown, "      0 -6px 16px 0 rgba(0， 0， 0， 0.08)，      0 -3px 6px -4px rgba(0， 0， 0， 0.12)，      0 -9px 28px 8px rgba(0， 0， 0， 0.05)    ", alias
boxShadowTabsOverflowLeft, "inset 10px 0 8px -8px rgba(0， 0， 0， 0.08)", alias
boxShadowTabsOverflowRight, "inset -10px 0 8px -8px rgba(0， 0， 0， 0.08)", alias
boxShadowTabsOverflowTop, "inset 0 10px 8px -8px rgba(0， 0， 0， 0.08)", alias
boxShadowTabsOverflowBottom, "inset 0 -10px 8px -8px rgba(0， 0， 0， 0.08)", alias
